Title,Company,Industry,Clouds Implemented,Description,Outcomes,Links
Transforming Ericsson's Customer Support Through Salesforce,Ericsson,"Telecom, Technology","Service Cloud, Field Service, Experience Cloud","In an industry marked by intense competition, Swedish telecom giant Ericsson has little room for error. When the company realized their customer support operation was falling dangerously behind competitors like Huawei and Nokia, they sought the help of IBM—their twenty-year partner in strategic transformation.

By leveraging the power of our Enterprise Salesforce Transformation offering, we orchestrated multiple Salesforce implentations to create Omni Network Channel, a leading-edge customer support platform. Omni Network Channel provides customers with a single digital interface to open support tickets, have live chats, search a knowledge base, collaborate on user forums, and view network data—all backed by AI. Thanks to the platform, 900 institutional customer accounts are now empowered with self-service capabilities. As a result, Ericsson’s customers are projected to see the time needed to resolve technical issues cut in half. 

But the benefits of Omni Network Channel flow both ways, affecting all five of Ericsson’s market areas. The platform now empowers 7,000 software-support agents across 100+ countries with new tools and capabilities and has led to the decommissioning of five of the company’s legacy systems. Like the targeted decrease in issue-resolution time, our solution aims to decrease the need for engineers to visit customer sites by 25%, resulting in cost and time savings. Most importantly, our solution has the goal of reducing the number of dangerous tower climbs by 10%, ensuring safer working conditions for Ericsson’s most daring employees. ","50%
Targeted Decrease In Resolution Time.
25%
Targeted Decrease In Customer Site Visits.
7,000
Support Agents Enabled.",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbfe50b770f1d1684658
Platform Unification Drives Arla Towards Continued Transformation with Salesforce,Arla,"Agriculture, Retail","Sales Cloud, Service Cloud, Expereince Cloud, Agentforce","Arla, a Danish-Swedish dairy cooperative, partnered with IBM for their first-ever implementation of Salesforce, and the results were overwhelmingly positive. IBM's solutions not only streamlined Arla's operations but also empowered farmers by providing them with a unified platform and portal, as well as a custom climate check solution built on Service Cloud and Experience Cloud. This innovative solution allows farmers to input data to be reviewed by sustainability experts while providing actionable insights for improving their practices and reducing their environmental impact, a key highlight of the partnership. The incentive model implemented by IBM was also praised by Arla's leadership, and the company was able to take a major step towards meeting their sustainability goals through the collection of data on climate change. The partnership between IBM and Arla was so successful that the companies have continued to work closely together long after the completion of the initial scope of the transformation. The Incentive Model implementation was recently rewarded with a Danish Digital Award for ""Best in Digital Strategy"".","3
Legacy systems into one unified system
3
Months to complete initial go-live with multiple system integrations
10K+
Farmers using the new system",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbf950b770f1d1684583
A Massive ERP Conversion Results in Zero Interruptions for Thousands of Salesforce Users,Pepsico,"Retail, Beverage","Sales Cloud, Service Cloud, Mulesoft","Uninterrupted operations throughout a major platform overhaul
When PepsiCo was streamlining their operations by transitioning from SAP ECC to SAP S/4HANA, they partnered with IBM to ensure their extensive Salesforce components could weather the journey smoothly. By enhancing their Salesforce modules to be dually compatible with both SAP platforms, IBM enabled PepsiCo to centralize their operations, streamline processes, and establish consistency across their business without disruptions. An immense technology restructuring that could have resulted in downtime of critical sales, service, and marketing support amounted to business as usual for the corporation’s tens of thousands of users, avoiding catastrophe and solidifying IBM as the organization’s incumbent technology partner.","~30K
User seamlessly transitioned
15+
Business processes refined end-to-end
1M+
Lines of code refactored",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbe450b770f1d1684246
Creating a New Frequent Flyer Redemption Experience,Asia Miles,"Transportation, Airlines","Sales Cloud, Experience Cloud, Service Cloud, Loyalty Cloud","Customers felt demotivated to interact with the airline after investing time to pick flights, only to be waitlisted to receive their actual tickets
Lack of insight into how accrued miles could be used unless customers already had a specific destination in mind
Institute a 90-day availability prediction to help customers know before they book when they're most likely to successfully redeem miles
Instead of a single destination search, travelers can now see all destinations their miles can fly them to with personalized recommendations","Communication with customers is now much more clear and transparent
Streamlined processes are much more intuitive, keeping customers informed with personalized flexibility
Confidence is much higher among customers, as the new redemption process puts users fully in control
Excitement infused back into the travel process",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/221178?listId=ygvwb
A European Multinational Corporation Transforms Its Sales and Customer Support Operations with IBM’s Salesforce Expertise,ABB,"Industrial, Manufacturing","Sales Cloud, Experience Cloud, Service Cloud","The client, a global leader in industrial technology, has transformed their sales and customer service operations. Thanks to IBM's expertise in managing their Salesforce platform, the client has a enjoyed a 30% reduction in incidents, a 70% reduction in initial ticket backlog, and a 72% improvement in average ticket resolution time. Thanks to the benefits of this single, unified platform, their IT team is now able to focus on more strategic initiatives. The client’s employees are also pleased with ticket handling, posting an average CSAT [Customer Satisfaction] score of 4+ for tickets. In addition to these advantages, IBM's automation solutions have enabled the client to reduce both their deployment issues and time to deploy, resulting in faster go-lives for new features and projects.","30%
Incident reduction in 12 months
70%
Initial ticket backlog reduced in 12 months
300+
Functionality gaps fixed",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbe250b770f1d16841f6
Florida’s Leading Utility Provider Empowers Its Essential Workers with Salesforce,Florida Power and Light,Utility,"Service Cloud, Field Service, Experience Cloud","Florida Power and Light (FPL) is responsible for delivering reliable energy to 12M+ Floridians. Operating in a region susceptible to storm-induced outages, the utility company partnered with IBM to develop a Salesforce solution that would streamline the process for deploying thousands of power-restoring technicians. The transformation led to an 89% faster vendor repayment process and a 15% reduction in invoice validation costs. Tens of thousands of manual expense reports have been replaced by a singular platform that makes tracking expenses easier for everyone—from the technicians on the ground to the state agencies responsible for compensation—while also providing unprecedented visibility into crews’ operations. Today, FPL is better equipped to manage natural disasters with faster, easier payments to their fleet of workers, ultimately providing even more reliable service for their customers while also saving public-sector dollars.","15%
Cost reduction with invoice validation
89%
Faster vendor payment processin
30K
Technicians consolidated onto single platform",https://w3.ibm.com/consulting/contentplus/wow-stories/67dddbef50b770f1d16843f9
IBM partners with IPON to streamline client services and onboarding,Intelictual Property Ontario,Government,"PS Cloud, Expereince Cloud, Shield","Customer Profile
Intellectual Property Ontario (IPON) is a mid-sized Ontario government agency that empowers innovators by providing intellectual property funding, education, and consulting services.
Challenge
Labor-intensive processes force staff to concentrate on administrative tasks rather than strategic priorities, such as allocating funding
Siloed applications, with extensive manual manipulation in Excel, lead to a lack of a single source of truth
Lack of a comprehensive view of customers and their lifecycle, including lifetime metrics and interaction history.
Partner Value
IBM leveraged skilled resources to position itself as a trusted partner to an organization with no previous Salesforce experience 
IBM assets and processes, such as the Apex methodology, enabled a proposal for a streamlined and comprehensive solution
Public sector expertise allowed IBM to understand unique IPON requirements and design a solution that aligns with other public sector products","Reducing funding approval time by 25%
Reducing onboarding processing time by 25% ",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/244326?listId=vtfvr
IBM helps Streamlining Quote-to-Cash with Unified CPQ and CRM Integration,Mckesson,"Health Care, technology",Sales Cloud,"Customer Profile
A global leader in healthcare supply chain management and technology, the customer serves pharmacies, hospitals, and providers across 13+ countries, ensuring efficient delivery of medicines and supplies. With a focus on digital transformation, the customer aims to integrate its Bio-Pharma, Pharmacy, Payor, and Provider verticals, streamlining operations and enhancing service delivery.
Challenge
Multiple Salesforce orgs resulted in fragmented data and inconsistencies in sales and quoting processes.
Approval management and traceability issues caused delays and inefficiencies in processing approvals. 
Solution Summary
IBM proposed to integrate CPQ and CRM into a unified platform, eliminating the redundant processes and accelerating the quote-to-cash workflow. 
IBM aimed to implement an automated approval system to streamline pricing, enabling quicker approvals within predefined guardrails while enhancing traceability, compliance, and efficiency.

Partner Value
Human-centered methodology solves customers’ most complex business challenges
150+ pre-built applications, accelerators and intelligent workflows that enhance functionality and speed time to market
Expertise in competencies, markets, industries and Clouds
Pre-sales support early and throughout the cycle
Industry POVs and SMEs + customer success stories
Heritage of technology innovation and market-changing inventions built on the Salesforce platform","Expected Outcomes
Seamless Opportunity Experience
Advance Approval management & traceability",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/244426?listId=vtfvr
Ministry of Natural Resources and Forestry streamlines the management of natural resources licensing and permitting ,Ontario,Government,"Experience Cloud, Service Cloud, Shield","Customer Profile
The Ministry of Natural Resources and Forestry (MNRF) is a government agency in Ontario, Canada, responsible for managing the province's natural resources, including forests, petroleum, fisheries, wildlife, and mineral resources. It oversees conservation efforts, sustainable resource development, and the protection of biodiversity.
Challenge
90% of licensing and permitting management was conducted via physical mail and email
MNRF needed a customer and employee experience transformation that is quick to go to market and maintains government policies (ex. Accessibility for Ontarians with Disabilities Act in Ontario)
Furthermore, MNRF required strong support with data integrity, security, and encryption of Personal Information (PI).
 Partner Value
In 2024, IBM has had 2 successful releases of its Natural Resources Information Portal (Salesforce Experience Cloud), with the second release having 0 bugs during the go-live phase.
In 2025, IBM was able to leverage its delivery excellence in their relationship with MNRF to conduct another phase of work with new functionality.
As MNRF’s trusted advisor, IBM continues to collaborate with the client to grow their Salesforce environment. This includes IBM providing Agentforce workshops to ideate on how AI and Agentic experiences can be leveraged for MNRF.","Management of licenses and permits is now 100% digital.
Expected 100% growth in TCV from 2024 to 2025",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/244311?listId=vtfvr
Modernizing Sales and Service for Mars Retail Group,Mars Wrigley,Retail Food and Beverage,"Sales Cloud, Service Cloud","Customer Profile
Describe customer, including stats like size, location, operating area, etc. 
Challenge
MRG operated with disparate, disconnected systems that lacked integration, creating inefficiencies and limiting scalability across their operations.
Manual promotion management: The existing systems couldn't handle complex omnichannel promotions effectively, requiring extensive manual interventions and technical support for any pricing strategy or promotional campaign.
Siloed CRM operations: Multiple CRM systems operated independently without coordination, preventing a unified view of customer data and hindering cohesive customer relationship management.
Solution Summary
IBM is implementing Salesforce Sales and Service integrated with Sterling OMS for order management. The solution is: 

Unified Pricing Engine: One stop shop to Automate and tailor promotions/pricing across all retail channels
Real-Time Performance Data: Accurate visibility for strategic planning and immediate decision-making
Integrated OMS: Seamless product personalization and packaging capabilities
Connected CRM Platform: Single system modernizing Customer 360, case management, email management, orders, and lead management","“IBM has been a great partner as they helped us define an MVP solution that we can scale globally and enhance in the future” –Chandan Jogur – Senior Lead Digital Transformation, Mars Wrigky
100%Adoption Rater",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/244323?listId=vtfvr
IBM Salesforce Center of Excellence: boosting Operational Efficiency and Platform Stability,Pine Labs,"Financial Services, Fintech",Service Cloud,"Customer Profile
Pine Labs is a leading Indian provider of advanced point of sale (PoS) and payment solutions. Pine Labs serves over 70,000 retailers across India. Pine Labs is committed to delivering innovative payment technologies that enhance the retail experience and drive business growth for both merchants and consumers.
Challenge
Unoptimized Salesforce configurations in existing Salesforce implementation led to slow ticket resolution, high technical debt and poor system performance.
Flawed system setups, lack of process discipline, and limited scalability hindered the implementation of new initiatives and delayed optimization, stalling adaptability and growth due to resource constraints.
Solution Summary
IBM to establish a Salesforce Center of Excellence (CoE) that drives governance , streamlines delivery, and accelerates strategic initiatives across key business functions.
In flight project team set up with various squads spread across marketing, solutions, onboarding, Value added services to deliver ongoing and new initiatives.

Partner Value
Human-centered methodology solves customers’ most complex business challenges
Expertise in competencies, markets, industries and Clouds
Pre-sales support early and throughout the cycle
Heritage of technology innovation and market-changing inventions built on the Salesforce platform
“Art of the Possible” customized demos","Expected Outcomes
Increased operational Efficiency and platform stability
Driving platform innovation",https://w3.ibm.com/services/lighthouse/spaces/view/salesforce/documents/244375?listId=vtfvr
Ireland expedites nationwide COVID vaccination program,HSE,"Government, Health Care","Service Cloud, Platform, Experience Cloud","HSE chose to build a platform on Salesforce cloud technology with IBM Consulting using the IBM Garage™—a framework for transformation that combines people, processes and technology. The all-remote team was able to bring in top talent from around the world—from Ireland, the UK, Israel, Egypt and Australia to the US and India. Team members included solution architects, developers, designers, Salesforce technical experts and HSE employees who understood the agency’s needs. They followed the agile, user-centered IBM Garage Methodology—design, build, scale.

Adhering to human-centered design principles and maintaining empathy for users, the team focused on key people who would first use the vaccination platform: vaccinators, care-home patients and healthcare workers. For each persona, designers strove to answer the question, How can we make their lives easier throughout the vaccination process?

The collaborative team prioritized the features needed for the minimum viable product (MVP) that HSE would use to vaccinate the first cohort—healthcare workers and elderly care-home patients. Other features could wait until they were needed. For example, HSE would eventually offer a self-service portal where citizens could register for their vaccinations, but the platform didn’t need that functionality on Day 1.

The team designed COVAX (COVID Vaccination Information System), a secure and simple-to-navigate vaccine management platform. It captures all the necessary data to produce a vaccination certificate and ensures sensitive personal information remains in GDPR compliance.","Data Tracking at Scale
 

Tracked nearly 11M COVID vaccinations across Ireland

Rapid Deployment
 

Launched a functional platform in only 2 weeks",https://www.ibm.com/case-studies/health-service-executive
"Modernized design. Maximized care.
Water Corporation implements an eConcessions platform with IBM Consulting",Water Corporation,Utility,Service Cloud,"Realizing it needed to make a change, Water Corporation turned to IBM Consulting® and its deep technical capabilities for assistance. By working together, the organizations co-created and engineered a new eConcessions database and management platform powered by Salesforce Service Cloud, extending the use of Salesforce as the organization’s strategic customer support platform.

Delivered under an IBM Salesforce consulting services project, the new solution offers streamlined, automated process workflows that seamlessly transition concession applications throughout the initial stages of validation and authorization. The extensive integration capabilities of the born-in-the-cloud Salesforce platform not only make it easy to pair the solution with the client’s existing website, billing and customer communication systems, but also make it possible to transfer data more quickly and securely to external actors—namely, local government authorities for processing.

At the same time, the eConcessions platform provides centralized access to the full collection of historic requests while offering users remote access capabilities.","By working with IBM Consulting to introduce an automated, cloud-based infrastructure, Water Corporation accelerated its validation processes, yielding faster turnaround times for support requests. Concession verification benefitted greatly from automation, in most cases allowing verification to be automated, prior to the Water Corporation users taking manual action.

The integration capabilities offered by the Salesforce-driven solution not only allows data exchanges in near real-time but also avoids the need for manual transcription, meaning fewer human errors are introduced that could delay a given application.

The streamlined workflows also helped Water Corporation boost the efficiency of its concession and conveyancing services team—the staff responsible for overseeing these applications. These employees have expressed less frustration and increased job satisfaction now that all the data they need is available in a single console, rather than scattered across multiple internal and external systems.

Finally, the new Salesforce-based eConcessions platform offers a flexible architecture that can readily scale as more applications are submitted and more historical records are preserved.
",https://www.ibm.com/case-studies/water-corporation-ibm-consulting
"Delivering Record Salesforce Org
Consolidation and Process
Standardization",Cox Automotive,Media,"Sales Cloud, revenue Cloud, CPQ, Service Cloud, Platform, analytics Cloud","BUSINESS DRIVERS ​

Organization underwent massive growth through acquisition without an enterprise-wide way of going to market​

Marketing, quoting, selling and servicing customers in different and siloed ways has prevented them from scaling efficiently​

Previous attempts to consolidate 13 retails brands within one instance failed. The company partnered with IBM to successfully unite these brands in one transformation.​

Consolidated multiple CPQ solutions into standard CPQ tool, process, product rationalization, and simplification​

Inherited technology, disparate data, and disjointed processes created barriers that IBM was brought in to help break down","Consolidation: 13 unique brands brought into a single CRM​

Successful Launch: After three failed efforts by other firms, IBM became the first to get a consolidated instance of Salesforce into production​

Increased Efficiency in both sales and service thanks to business-critical changes​

Cost Reduction due to retiring and consolidating old software and systems",https://ibm.box.com/v/COX Story
Lead to Cash Transformation​,Dun & Bradstreet,"Technology, Services","Sales Cloud, Revenue Cloud ","Business problem​

The client approached IBM Consulting to strategize a complete reimagining of their quote-to-signature process with the goal of making their CRM more intelligent, including AI workflows for tracking and reacting to customer behavior and sentiment.​

​

Solution​

IBM Consulting assessed platform options and the client accepted the recommendation to optimize using a combination of the Salesforce platform, IBM watsonx and legacy, proprietary systems.",Early results include a significant reduction of cancellation cycle time and increased employee productivity. ,https://ibm.box.com/s/dyruktklfmtgvgjjsnjpo0ug06dqb88d
Solar Emergency Backstop implementation for an Energy and Utilities Sector Major in APAC,Ausnet,Utility,"Service Cloud, Marketing Cloud, Energy and Utility Cloud","Customer Profile​

The client is Victoria’s largest diversified energy network business connecting communities with reliable, affordable and sustainable energy. With over $13 billion in assets, the company operates three core regulated networks: electricity distribution, gas distribution and the state-wide electricity transmission network. ​

Challenge​

With the increase in distributed energy sources (DER), like solar power, being installed on homes and businesses, more people are generating their own electricity, and this created challenges for the grid, particularly during peak production times. When the amount of solar power sent to the grid exceeded its capacity, it led to problems like grid instability or even shutdowns, as the system struggled to manage the influx of power. ​

Missing controls in existing applications to help monitor both solar generation and grid capacity in real-time so as to balance the supply and demand from these distributed energy resources.    
 Solution Summary​

To avoid potential damage to the infrastructure, the client was looking to build a smart grid system, by remodeling existing forms and applications.​

IBM designed Salesforce Sales and Service cloud integration along with implementing Salesforce Industry cloud (vlocity), aiming to reuse existing integrations and uplifting the existing solution to meet the new requirements of minimum system load (MSL). ​

IBM also developed a new portal where the users could register themselves, see their applications and view their current solar implementation to determine how much of additional capacity is available to them, what their export limits are and how much more they can export. This portal also provided an informative view to the installers, of all their completed and pending installations ensuring better productivity and visibility to the work pipeline.​

Partner Value/Why IBM​

Digital Strategy & Industry Expertise​

Experience Design Competency​

Global Size and Scale","Improved customer experience with a detailed view of current solar implementation​

Increased support teams’ efficiency with decreased number of customer support calls.​

Increased installations / day​

Efficient handling of Solar related enquiries.​

Single view of Solar implementation for the Client, their Customers, Installers and Representatives.​",https://ibm.box.com/s/fwyby2ebdscjt2uex39ir2wpdyt0evos
Crafting Intelligent Logistics Workflows,Inbev,Food and Beverage,"Service Cloud, Mulesoft, Platform, Einstein","BUSINESS DRIVERS ​

Design an intelligent workflow to automate self-service through virtual assistants to help solve out-of-stock and order inquiries faster, more accurately and with less time spent on the phone​

Elevate experiences for commercial transformation at scale by simplifying business processes, seamlessly engaging wholesalers and innovating faster​

Achieve meaningful financial impacts from people harmonization, decreased spend up and increased margin contribution","25% annual ticket volume resolved by a virtual agent​

70% annual ticket volume progressed by a virtual agent​

5% increase in adoption of wholesaler portal​

15,000 annual service hours saved",https://ibm.box.com/s/o1e0o8rl71hs4geaipcp5vfl18evjl4g
Establishing a C4E Model and Migration to MuleSoft,Pearson,Media,Mulesoft,"BUSINESS DRIVERS ​

Migrate from IBM middleware and Apigee to MuleSoft​

Establish a Center for Enablement based delivery model to enable multiple lines of business to deliver integrations at scale​

Unlock key capabilities including:​

Enablement and evangelization​

Productization​

Service ownership​

Accelerators​

Automated governance and monitoring​

Architecture","15+ Apigee policies migrated to MuleSoft​

Cost savings from the new lightweight solution​

Governance & Security maintained at the same level with a more consistent, lower-cost API gateway​

Hybrid Environment in which to deliver the APIs, allowing them to build services on MuleSoft or AWS",https://ibm.box.com/s/u1r9l42f9rspiwp2fykdks2633oyynx8
Unlocking New Revenue Streams from Digital Products,General Motors,"Automotive, Industrial","Automotive cloud, Service Cloud, Experience Cloud, Mulesoft","BUSINESS DRIVERS ​

Company desire to grow digital product revenue to $80 billion by 2030​

Improve customer experiences and customer service with a futureproof solution that would boost CSAT scores and, as a result, revenue​

Migrate and consolidate data from disparate systems into Salesforce, which can read and use that data to enhance CX​

Expand on current foundational usage of AI to position the company to succeed in the future, without sacrificing the customer care standards that users expect​

Use MuleSoft to integrate customer data from more than one million customer records","Automotive Cloud successfully rolled out in 2023, becoming the largest OEM to launch it at such a large scale​

3000+ nonemergency advisors using the new solution​

Speed to Value: Products built specifically for the automotive industry resulted in very fast speed-to-value​

CSAT increased due to AI, self-service and lower call handling times​

Higher Revenue thanks to higher NPS, CSAT and efficiency",https://ibm.box.com/s/893bpthh87ww8iu2jocbptjgg9hg539d
Automating Marketing Tasks and Processes for an Automotive Manufacturer's Financial Services,VWFS,Financial Services,Marketing Cloud,"BUSINESS DRIVERS ​

Started a Salesforce campaign to automate more than 35 marketing campaigns and 40 CRM KPIs​

Design new KPIs and integrate with multiple Salesforce orgs to deliver leads and get feedback about them​

Set goals to improve the customer experience, increase customer loyalty and implement as much automation as possible​

Deliver the project on a short timeline using Agile methodology","5 months to deliver the project with excellence​

Automation of the requisite 35 marketing campaigns and 40 CRM KPIs, enabling the company to reach their goals​

KPIs both automated and created in new areas​

Improved UX resulting in more customer engagement and loyalty",https://ibm.box.com/s/af2zhexhq4tul81g2oeol85jhzukn68i
"Implementing Automotive Cloud to Improve Employee, Dealer and Customer Experiences",Toyota Canada,Automotive,"Automotive cloud, Service Cloud, Data Cloud, Experience Cloud, Mulesoft","BUSINESS DRIVERS  ​

Company lacked an effective 360° view of their customers​

Three separate legacy case management systems resulted in a disjointed application landscape to manage cases​

Lack of evolution of legacy systems over 20+ years, leading to the business eagerly looking for a chance to improve their processes​

Unify and improve the case management processes for employees and dealers​

Create a new dealer case management experience that provides access to dealer and customer cases and data​

Set the technical foundation for a customer data platform, aggregating data sources to provide insights and predict next best actions for customers","3000 dealer users registered from nearly 300 active dealerships​

94 million records transferred​

32 online learning modules launched for dealers ​

8.5 Million customers (8.1 client Customers, 400K+ Business Customers)​

30+ MuleSoft APIs ",https://ibm.box.com/s/xz22sukmjyikinbkwpgtrqlioth7tcys
Blending Customer Success with Offshore Resourcing to Enhance Security & User Experiences,Honda USA,Automotive,"Service Cloud, Experience Cloud","BUSINESS DRIVERS ​

Company launched multiple new car models, and each had a new portal for its individual customer types​

Subsets of brands led to lots of information needing to be personalized and surfaced for different customers​

Single sign on (SSO) and multi-factor authentication (MFA) needed to be added to cut across different portals​

Complex implementation of Experience Cloud to connect 5+ portals for different brands and models​

IBM established a successful model of Customer Success + offshore support to provide a flexible, cost-effective solution for the client that met their expectations for competitive rates","Cost Reduction thanks to seamless blending of IBM's Customer Success with offshore support​

Security Requirements adhere to company and Salesforce mandates ahead of required timeline​

Flexibility due to fractional resourcing and competitive pricing provided by IBM customer success​

User Experience improved with the interconnectedness of different brand portals",https://ibm.box.com/s/rxdq87zjl2f4fm8gx9ydnyz4cbibskss
Creating a Triad of Three Unique Experiences for Employees & Other Users,Amgen,"Life Sciences, technology",Experience Cloud  ,"BUSINESS DRIVERS ​

Global Value & Access: Consolidate content that leverages SSO to appropriately limit access depending on the type of user​

Employee Experience: Migrate from SharePoint to a full employee digital workspace that enables internal users to maximize results and productivity​

Digital Health & Innovation: Showcase product availability in a secure, compliant experience for customers​

Integrate Salesforce knowledge articles to streamline access and enable better self-service for users","Productivity: Enterprise collaboration tools, knowledge capture and resource access improved employee productivity​

Engagement: Guided onboarding and improved self-service and support boosted engagement among users​

Retention: Streamlined communication and feedback opportunities reduced employee turnover​

Transformational Change: Enabled by a broadened boundary system integration",https://ibm.box.com/s/wq6fc2uvm9p37ev8ywl3ssu11hk7lf8x
Undertaking a Collaborative Process Design to Improve the Charging Contact Center Experience ,Ford,Automotive ,"Sales Cloud, Service Cloud","BUSINESS DRIVERS ​

Conduct a series of virtual working sessions focused on the company's Charging case types identified as areas with process design opportunities​

Provide recommendations for future state process design and improvement areas to take forward, including Slack integration, process standardization, automated case creation and guided processes​

Ensure consistency and standardization of the case resolution path across all use cases​

Apply consistent case management design and call types across Sales and Service use cases​

Confirm processes and initiatives currently in flight that are driving positive impact","Improved accuracy of reporting and ease of use ​

Use Slack to enable speed and real-time resolution for customers​

Holistic Understanding of the end-to-end case journey through continuous data capture in Salesforce​

Higher productivity, agent proficiency and cost control in case resolution processes through standardization and targeted automation",https://ibm.box.com/s/ygyj39cimj6n7r77kzqc8v8yep1gm7br
Harmonizing Brands to Become a World-Class Contact Center,Ahold Delhaize,Retail,Service cloud,"BUSINESS DRIVERS ​

Divergent processes and disparate systems in more than six brands across multiple US call centers​

Agents experienced a lack of integration across buying channels (brick and mortar vs. BOPIS), wasted significant time going back and forth across dozens of systems and dealt with minimal channel diversity​

Desire for more human-centered engagement with a focus on customer and user experience, including personalization and the ability to serve users in their channel of choice","8% increase in agent efficiency​

10% reduction in call handle times​

15% increase in first call resolution​

Omnichannel service allows agents to serve customers anywhere, anytime​

Personalization resulting in improved experiences and a 360-degree view of users",https://ibm.box.com/s/gv3govtly8g9squ6j2kl62q3m5qovxtg
Fostering User Ideation with an Innovative Help Portal,Hulu,"Media, technology, consumer Goods",Experience Cloud,"BUSINESS DRIVERS ​

The company had an outdated ideation community built on User Voice that lacked scalability and led to an ineffective customer help experience​

A fragmented user experience was frustrating users, keeping them out of the decision making process and creating internal inefficiencies​

Undertake a migration to Salesforce to better connect the new community to their other existing Salesforce properties​

Provide customers with innovative new features, including feedback mechanisms, self-service, personalized experiences and system integrations.","Cost Savings: More congruent eperience for users and. Viewers lowered costs for the company​

Increased Engagement: Due largely to ideation and feedback mechanisms​

Brand Loyalty: Self-service, personalization and enhanced collaboration foster brand loyalty​

Unified Experience: System integrations and a single support platform",https://ibm.box.com/s/603llw7594x9cfdwt31h0izdwq5hdj3j
Building a Digital Engagement Solution to Improve Customer and Employee Experiences for Stellantis​,Stellantis,Automotive ,"Platform, Marketing Cloud","BUSINESS DRIVERS ​

With more than 775 million private vehicles becoming connected by 2023, Stellantis needed a solution that would help them take advantage of this growing market worth an estimated 9 billion euros ​

Enhance customer service for end users to include subscription enrollment, service support and payments​

Provide employees with new features such as service and catalog management, order processing, and accounting​

Use IBM Garage methodology to redesign connected services​

Expand the solution to other products and services, such as after-sales services and accessories, and implement marketing automation​

Integrate ex-FCA brands and countries in the solution","4,000,000+ additional B2C customers​

€6,000,000+ increase in revenue​

Increased Loyalty among clients, generating several million euros in after-sales tele-maintenance​

Critical Solution for electrical car value proposition; no electrical car in Europe can be sold without REMOTE LEV service",https://ibm.box.com/s/4gqcfbh5cx1d1ikw610fhcn9xaqtgooi
Integrating Digital and Physical Experiences Through Technology Enabled Intelligent Workflows,Discount Tire,"Retail, automotive","Service Cloud, Experience Cloud, Mulesoft","BUSINESS DRIVERS ​

Provide the most inviting, easy and safe tire and wheel purchase and service experience in the world​

Use technology to offer a touchless end-to-end customer experience and comprehensive services at the time of the customers' choosing​

Design, develop and deploy a complex MuleSoft API platform with more than 100 APIs. ​

Provide customer-facing web changes to activate a completely new customer journey​

Seamlessly orchestrate each step from web booking and appointments, store visits, appointment validation and completing service","Increase in order volume​

Increase in customer satisfaction​

Increase in ease of use for customers and employees​

Overall Improvement in the user experience",https://ibm.box.com/s/ysw7o6rk6v8dst2lb3xcehieqwlhrjff
"Improving Time to Market and Cost of Delivery with an Agile, Reusable Framework",Phillip Morris,"Reatil, CPG",Mulesoft,"BUSINESS DRIVERS ​

Leverage platform business needs through MuleSoft-based integrations and application reusability​

Empower strategic decision making on transforming the business to a B2C model by creating reusable Experience, Process and Systems APIs​

Remove redundant and time-consuming activities to standardize the API lifecycle​

Provide flawless integration of SAP with a product life cycle management software to generate an accurate bill of material which will bring the company closer to having a B2C business model​

Analyze legacy interface to identify API opportunities and provide proactive enablement of APIs","150+ APIs delivered in three quarters​

15/month average velocity of API delivery​

100% compliant to integration center for enablement standards and patterns​

5 business domains (Consumer, Products, Operations, Corporate, IT) served and enabled by the APIs",https://ibm.box.com/s/nx62lhh3mvu4d6kzimuzl87s04jvwud1
Reimagining the Passenger Reservation System with MuleSoft,Air Canada,"Airlines, travel and transporation",Mulesoft,"BUSINESS DRIVERS ​

Modernize the airline's legacy Main Fram Passenger Reservation and Departure system ​

Enable 24/7 global functions for shopping, bookings, pricing, seats and departure control for the airline's passengers, totaling tens of millions of flyers per year​

Use MuleSoft to serve integrations to front end systems supporting kiosks, mobile, contact centers and personal devices​

Build and support more than 165 APIs as well as develop complex logic, rules and business algorithms, all implemented within the MuleSoft integration layer","Increase in overall net customer satisfaction levels​

Increase in total number of customer bookings​

Decrease in time it takes to get to market​

Increase in the number of on-time departures",https://ibm.box.com/s/l2yu1dy18bzfw2iin9a3lxlx7dg6bcgj
Undergoing a Digital Transformation and API Strategy for a Banking & Financial Markets Client,Truist,Financial Services,Mulesoft,"BUSINESS DRIVERS ​

Develop foundational capabilities and provide thought leadership in areas of Hybrid Cloud Solution, API Management and architecture for a journey to Open Banking​

Consolidate from multiple technologies to MuleSoft, helping to set enterprise standards and best practices​

Create APIs for omnichannel enablement and partner collaboration​

Differentiate with an API Monetization Strategy, cost savings from a global delivery and Accelerators, and the largest API Factory with full stack integration","20% increase in speed to market due to building 20+ reusable assets and accelerators​

20% productivity gain from templates and best practices​

30% increase in stability by reducing defects ​

150+ APIs",https://ibm.box.com/s/02jm62g0xef6kicc6j9hsx1u0yla991j
