source_file,title,company,industry,clouds_implemented,description,outcomes,links
10072395.md,Experience of supporting a wide range of users when moving to a new system and how you did this.,Department for Work & Pensions (DWP),"Government, Public Sector",,"IBM developed a digital service for citizens to apply for a National Insurance Number (NINO). The project involved creating a product vision, steering the product from alpha prototyping into public beta, and responding to changing priorities through user feedback across multiple stakeholders. IBM‚  Product Owner collaborated closely with stakeholders from interdependent products, used a Feasibility/Value matrix to define and deliver the roadmap and backlog, and maintained a single communications plan for stakeholder engagement. The product backlog was actively prioritized and refreshed via iterative user research/testing, Google Analytics data trends, and affinity mapping of user needs. The service launched in eight weeks.","[57% increase in efficiency, Service launched within 8 weeks]",[https://ibmgbs.loopio.com/library?entry=10072395]
10072396.md,Home Office Disclosure & Barring Service,Home Office,Government/Public Sector,"GOV.UK services (GOV.Pay, GOV.Notify)","The project delivered a new public-facing digital criminal record and background‚ check service for the Home Office. Using agile scrum teams, the team iteratively developed proof‚ of‚ concepts and UX prototypes, coordinated with GOV.UK to set up DNS entries, certificates, and hosted landing pages via the GOV.UK CMS, and integrated the service with other GOV.UK services such as GOV.Pay and GOV.Notify.","[Serves over 1,000 unique users per month, Won the 2020 Institute of Customer Service Award for ‚ÄòBest Use of Customer Insight‚Äô]",[https://ibmgbs.loopio.com/library?entry=10072396]
10072397.md,IBM delivered 5 successful Alphas for Scottish Government‚  benefits service,Scottish Government,"Public Sector, Government Services",,"IBM delivered five successful Alpha prototypes for the Scottish Government‚  benefits service between May and December 2018. Using the MyGov Digital First approach reinforced with IBM Design Thinking, continuous user research was conducted with over 1,200 users, alongside co‚ design and user testing of high‚  and low‚ fidelity prototypes across 40 locations. Working closely with policy enabled a more digital approach by adjusting language to allow SMS and email communication, thereby expanding online transaction options.","The project resulted in new, high‚ quality benefits for approximately 100,000 households, achieving an average customer satisfaction score of over 97%.",[https://ibmgbs.loopio.com/library?entry=10072397]
10072398.md,Apply for a Nino Digital Service,Department for Work & Pensions (DWP),"Public Sector, Government Services",,"The Department for Work & Pensions needed to mobilise a new ""Apply for a Nino"" digital service rapidly due to the pandemic. The project was taken through Discovery, Alpha and Beta phases. Rapid iterations required frequent detailed communication with many stakeholders (Digital, Operations, Policy, other Departments). The team worked closely with users to understand priorities, mapped features to a Feasibility/Value matrix to shape the Product Roadmap and backlog, and actively prioritised and refreshed backlogs via iterative user research, testing, Google Analytics data and affinity mapping of user needs. This enabled ongoing incremental improvement to service performance.","[57% applicant time saving,  £108m of savings expected over 10 years]",[https://ibmgbs.loopio.com/library?entry=10072398]
10072399.md,Scottish Government Pension Benefits Go‚ Live Post Devolution,Scottish Government,"Public Sector, Government Services",,"IBM performed environment provisioning, user training and data cut-over activities to prepare the Scottish Government for live deployment of 11 pension benefits after devolution. A hyper‚ care organization was defined with a specified duration and transition effort. Hyper‚ care activities included bug fixing, addressing user issues, resolving data problems and conducting performance monitoring checks by Site Reliability Engineers. Staffing levels were managed via a skills matrix and a 30‚ 60‚ 90 day resource forecast, iterated in agile ceremonies. Backlog prioritisation was performed using WSJIF based on ongoing performance data and user feedback. The project successfully transitioned from the Beta phase into live operation, delivering benefits to 100,000 vulnerable Scottish citizens.","[Successful transition from Beta to Live, Delivery of pension benefits to 100k vulnerable citizens, Effective hyper‚ care with bug fixing and performance monitoring]",[https://ibmgbs.loopio.com/library?entry=10072399]
10072400.md,NetZeroGo website for Energy Systems Catapult,Energy Systems Catapult,"Energy, Net Zero","Salesforce Experience Cloud, Salesforce Flows","The Energy Systems Catapult needed a website to assist Local Authorities in meeting their Net Zero commitments. We designed and built the netzerogo.org.uk website to give LAs access to a best practice project framework, re‚ usable content, collaboration tools and workflow to help them progress their projects. This was built using Salesforce Experience Cloud and Flows. Utilizing Salesforce‚  ‚Äòconfigure‚ not‚ code‚Äô approach we ran a series of seven bi‚ weekly configuration and demonstration sprints to gain interactive user feedback and refine fully working prototypes. The workflows included project creation steps, business case creation (with document generation) and progress through the standard project framework.","Since launch in March 2022, 205 councils have registered, 144 are delivering projects using Net Zero Go workflow tools and 200 new projects are underway.",[https://ibmgbs.loopio.com/library?entry=10072400]
10072401.md,netzerogo.org.uk ‚Äì Digital Service for Energy Systems Catapult,Energy Systems Catapult,"Energy & Net Zero, Public Sector","Salesforce Experience Cloud, Salesforce Flows","The Energy Systems Catapult required a website to help local authorities meet their Net Zero commitments by providing a best‚ practice project framework, reusable content, collaboration tools and workflows. The team designed and built netzerogo.org.uk using a ""configure not code"" approach with Salesforce Experience Cloud and Salesforce flows. They identified seven personas, developed user journeys, created 12 high‚ level screen designs and an underlying data model. Through iterative configuration and refinement in agile sprints, they delivered an MVP that met final launch requirements.","[205 councils signed up since March\xa02022, 144 councils delivered projects using the workflow tools, 200 projects underway]",[https://ibmgbs.loopio.com/library?entry=10072401]
10072402.md,IBM takes over management of DESNZ‚  live Data Management System,"DESNZ (Department for Environment, Food & Rural Affairs)","Public Sector, Grant Management","Azure, Databricks","IBM assumed full operational control of DESNZ‚  live Data Management System, which supports 25 grant schemes. The transition involved a scrummaster, architect, platform engineer and data scientist who shadowed the outgoing delivery team, participated in agile ceremonies, reviewed documentation, assessed architecture and governance, and took over service management responsibilities. The data scientist and senior platform engineer conducted deep‚ dive sessions with the data and Energy Affordability policy teams, managed and prioritized the deployment backlog, and inherited an existing codebase.",Seamless transition of a live service with a 70% reduction in bugs.,[https://ibmgbs.loopio.com/library?entry=10072402]
10072403.md,Previous Measures Checker on the Data Management System grants platform,Department for Energy & Sustainability (DESNZ),"Government, Public Sector",,"IBM and a hybrid client team built a new Previous Measures Checker component for DESNZ‚  Data Management System grants platform. The tool allows administrators to search a database of energy efficiency measures claimed and installed at properties, reducing fraud and error. It incorporates 11 new internal datasets, bulk search capability, and connections to external datasets such as Trustmark, using a gov.uk compliant front‚ end and Scrum/Agile best practices.","[Reduced fraud and errors in energy efficiency measure claims, Enabled bulk searching of property data, Integrated additional internal and external datasets for broader team use (e.g., Supply Chain Team, ECO & GBIS Teams)]",[https://ibmgbs.loopio.com/library?entry=10072403]
10072404.md,Experience of working with a wide range of stakeholders and users when eliciting requirements for policy-driven new system,IBM,"Public Sector, Government Services",,"IBM successfully launched over 11 Scottish Government benefit services since 2018 and helped establish the Social Security Agency post devolution. Using the MyGov Digital First approach, reinforced with IBM Design Thinking, we undertook continuous user research with 1200+ users, alongside co-design and user testing with hi/low-fidelity prototypes to refine user needs and iterate designs in 40 locations. Working with Policy, we elicited policy requirements and digital opportunities via research, opening up more online transactions ‚Äì e.g., changing ‚Äúwe will write to you by letter‚Äù to ‚Äúwe will write to you‚Äù which allowed for SMS and email.","New high‚ quality benefits delivered to 100,000 households with an average customer satisfaction of 97%+",[https://ibmgbs.loopio.com/library?entry=10072404]
10072405.md,Home Office Disclosure & Barring Service Digital Criminal Record and Background‚ Check Service,Home Office ‚Äì Disclosure & Barring Service,"Government, Public Sector (Criminal Records & Background Checks)","GOV.UK CMS, GOV.UK services (including GOV.Pay, GOV.Notify)","IBM agile scrum teams iteratively developed proof‚ of‚ concepts and UX prototypes for a new public‚ facing digital service that allows users to check criminal records and background information. The team worked closely with the Government Digital Service (GDS) and GOV.UK to establish design patterns, usability, accessibility standards, and integrated the solution into the GOV.UK CMS for landing and informational pages. User testing included challenging groups such as carers. The final service is hosted on GOV.UK, integrates with GOV.Pay for payments and GOV.Notify for notifications, and serves over 1,000 unique monthly users.","[Serves 1,000+ unique monthly users, Won the 2020 Institute of Customer Service Award for ‚ÄòBest Use of Customer Insight‚Äô]",[https://ibmgbs.loopio.com/library?entry=10072405]
10072406.md,Home Office Disclosure & Barring Service Digital Criminal Record and Background‚ Check Service,Home Office Disclosure & Barring Service (UK Government),"Public Sector, Government Services","GOV.UK infrastructure, GOV.UK CMS, GOV.Pay, GOV.Notify","The project involved rapidly developing and iterating a new public‚ facing digital criminal record and background‚ check service during the GDS Beta Phase. Agile scrum teams produced Alpha PoCs and UX prototypes, with sprint planning, daily stand‚ ups, reviews and retrospectives guiding continuous improvement. The team worked closely with GOV.UK to set up supporting technical infrastructure such as DNS entries and certificates, and leveraged the GOV.UK CMS to host landing and informational pages. Integration with other GOV.UK services like GOV.Pay and GOV.Notify ensured a seamless user experience.","[Serves 1,000+ unique users per month, Won the 2020 Institute of Customer Service Award for ‚ÄòBest Use of Customer Insight‚Äô]",[https://ibmgbs.loopio.com/library?entry=10072406]
10072407.md,Experience of building on an Alpha phase into a Beta phase of development,Department for Work & Pensions (DWP),"Public Sector, Government Digital Services",,"The project involved rapidly developing and deploying the ""Apply for a Nino"" digital service during the pandemic. The team guided the service through Discovery, Alpha, and Beta phases, facing challenges such as frequent iterations and detailed communication with multiple stakeholders (Digital, Operations, Policy, other Departments). Lessons learned included close collaboration with users to prioritize features using a Feasibility/Value matrix, iterative backlog refinement via user research, testing, Google Analytics data, and affinity mapping of user needs. This approach enabled continuous incremental improvement of the service.","[57% reduction in applicant processing time, Projected  £108 million savings over 10 years]",[https://ibmgbs.loopio.com/library?entry=10072407]
10072408.md,Scottish Government Pension Benefits Live Post Devolution,Scottish Government,"Public Sector, Government Services",,"IBM performed environment provisioning, user training, and data cut‚ over activities to prepare the Scottish Government for a public beta of pension benefits. The team defined a hyper‚ care organization, duration, and transition effort, including bug fixing, user issue resolution, data issues handling, and performance monitoring by Site Reliability Engineers. Staffing was managed via a skills matrix and a 30‚ 60‚ 90 day resource forecast, iterated in agile ceremonies. Backlog prioritisation used WSJIF based on ongoing performance data and user feedback. The project successfully transitioned from beta to live, delivering benefits to 100k vulnerable Scottish citizens.","[Successful transition from beta to live, Delivery of pension benefits to 100,000 vulnerable citizens, Effective hyper‚ care with bug fixing and performance monitoring, Agile staffing and backlog management]",[https://ibmgbs.loopio.com/library?entry=10072408]
10072412.md,IBM modified DESNZ‚  Azure Data Management System,DESNZ,"Data Management, Cloud Services",Azure,"IBM took over the inherited codebase of DESNZ‚  Azure Data Management System and performed architectural and code quality reviews. The team reviewed buggy pipelines, refined underlying business logic, and used data from reported bugs for root cause analysis. They identified overcomplicated code blocks that relied on unnecessary Python and R scripts instead of Azure native functionality, which would deliver faster extract-transform-load processes. A 90‚ day plan was agreed to rewrite red‚ rated code blocks and improve amber ones, adding ambers to a continuous improvement backlog.",[Reduction of bugs by 70%],[https://ibmgbs.loopio.com/library?entry=10072412]
10072413.md,UK Critical National Infrastructure Agency Applies Consistent Security Across Cloud Providers,Unnamed UK Critical National Infrastructure Agency,"Government, Critical National Infrastructure","Microsoft Sentinel, Security Centre, DSC, IBM Cloud Foundation Platform","A UK critical national infrastructure agency sought to apply consistent security across its cloud providers. IBM collaborated with the client, using the GDS Service Manual and IBMs Cloud Foundation Platform toolkit to define appropriate RACI, governance, controls, architectures, and deployment patterns informed by UK and global standards (e.g., NCSC guidance, CCF, NIST, CIS). This approach enabled the agency to manage and observe settings through tools such as Microsoft Sentinel, Security Centre, and DSC.","[Faster policy deployment, Significantly improved reporting]",[https://ibmgbs.loopio.com/library?entry=10072413]
10079110.md,Beta phase of a new decision-support tool for GEL‚  digital health service,Genomics England (GEL),"Digital Health, Genomics",,"At Genomics England (GEL), we delivered the Beta phase of a new decision‚ support tool for GEL‚  digital health service that analyses genomic tests for cancer patients. We met all GDS Service Manual and NHS standards, using double‚ diamond user‚ centred methodology with agile delivery in an IBM‚ GEL multidisciplinary team of 60. We held 40 research sessions in 12 locations with end users (NHS clinical scientists) to ensure our product addressed their end‚ to‚ end workflow, maintaining an insights repository of pain points and findings. The Beta launched in 2022 in all 7 GEL sites alongside the existing tool; by consolidating 5 screens into 1, it significantly reduced cognitive load.","[Reduced cognitive load for clinicians, Freed up clinical time in over 1600 cases to date]",[https://ibmgbs.loopio.com/library?entry=10079110]
10079112.md,NHS England‚  delivery partner for the NHS App,NHS England,"Healthcare, Public Sector",,"As NHS England‚  delivery partner for the NHS App since 2022, we work in 14 multidisciplinary rainbow teams with 250 people from 3 organisations (NHS, IBM, BJSS), collaborating with 12 NHS programmes (Wayfinder NHS Login). We cover all categories in the Government Digital and Data Profession Capability Framework. We take an Enterprise Design Thinking approach to multidisciplinary working, framing the work of each profession at each stage of the GDS Service Manual lifecycle. We use Scaled Agile methods to coordinate activity and foster inclusivity through open playbacks, retrospectives and knowledge sharing. We delivered >100 successful releases in 2023, reaching our target of 75% of England‚  population signed up to the App, 3 months early.","[Delivered over 100 successful releases in 2023, Achieved 75% of England‚  population signed up to the NHS App three months ahead of schedule]",[https://ibmgbs.loopio.com/library?entry=10079112]
10079113.md,NHS England‚  delivery partner for the NHS App,NHS England,"Healthcare, Public Health","FHIR-compliant Notifications & Messaging, GP Patient-Facing Services APIs, NHS Login API, Spine PDS API","Since 2022, IBM has served as the delivery partner for NHS England‚  national digital service, the NHS App. The project involves building, testing and scaling a high‚ volume, interoperable platform that supports over 6 million monthly users across England. Using DevOps methodology and continuous improvement practices, IBM architects new features with scalability in mind, develops FHIR‚ compliant notification and messaging components, integrates with NHS Login and Spine PDS APIs, and prioritises performance enhancements through rigorous testing and bottleneck analysis.","[ £52.4 million contract value, >6 million monthly users served, Delivered over 100 releases, Increased message capacity by 100% within six weeks to support national campaigns]",[https://ibmgbs.loopio.com/library?entry=10079113]
10079114.md,Digital Transformation of Screening,NHS England,"Healthcare, Public Health",,"As NHS England‚  delivery partner for the Digital Transformation of Screening since 2022 ( £40m contract), we designed to-be preventative journeys across Breast and Diabetic Eye Screening and the multi-cancer early detection (MCED) Galleri test (total >3m people p.a.). We used Enterprise Design Thinking methodology to understand patient and provider needs, produced service design blueprints and interactive prototypes and tested with representative users. This validated requirements based on value to users in advance of development, saving time & money. We identified programme-specific implementation requirements and cross-programme re‚ usable capabilities, working with senior stakeholders to ensure a fully rounded delivery plan was in place.","[Validated requirements before development, Saved time and money by testing prototypes early]",[https://ibmgbs.loopio.com/library?entry=10079114]
10079115.md,NHS App Integration and Service Delivery,NHS England,"Healthcare, Public Health Services","NHS Login, PDS, Wayfinder, ePS, eRS","IBM serves as the delivery partner for the NHS App since 2022, designing, building and operating a national digital service that integrates with 17 third‚ party suppliers (including TPP, EMIS, AccuRx) and 12 national services such as NHS Login, PDS, Wayfinder, ePS and eRS. The project involved streamlining the SCAL integration process from expression of interest to post‚ go‚ live support, ensuring standards compliance and engaging with legal, IG and clinical stakeholders. IBM authored a new integration strategy for the NHS App, enabling resource allocation based on value and adding 10 new integrations in 2023.","[Streamlined SCAL integration process, New integration strategy enabling value-based resource allocation, Added 10 new integrations in 2023]",[https://ibmgbs.loopio.com/library?entry=10079115]
10079116.md,Pilot for the Carers Support Payment,Social Security Scotland,"Public Sector, Social Services",,"As Social Security Scotland‚  digital partner, we launched a pilot for the Carers Support Payment in 2022. Using Enterprise Design Thinking methodology, we conducted 15 interviews and 11 focus groups with service users, carers, third‚ party organisations and community support groups (122 people), including stakeholders from remote Highland & Island areas with low incomes and low digital literacy. The research collaboration led to the expansion of communication channels used with service users, a check on eligibility at the start of the process, and increased uptake of the benefit.","[Expanded communication channels for service users, Implemented early eligibility checks, Increased benefit uptake by over 35%]",[https://ibmgbs.loopio.com/library?entry=10079116]
10079117.md,CyberLiver Digital Therapeutic MDR Class IIa Certification,CyberLiver,"Healthcare, Medical Devices, Digital Therapeutics",,"ETHOS partnered with CyberLiver to deliver a successful submission for UK MDR Class IIa certification. The project involved device classification, essential requirements assessment, clinical evaluation, conformity declaration, implementation of corrective action processes, and MHRA registration through the notified body SGS.","[Successful UK MDR Class IIa certification, Completed device classification and essential requirements compliance, Clinical evaluation completed, Conformity declaration issued, Corrective action processes implemented, MHRA registration achieved]",[https://ibmgbs.loopio.com/library?entry=10079117]
10079118.md,NHS App Delivery Partner Case Study,IBM,"Healthcare, Public Health Services","NHS Login, PDS (Patient Demographics Service), Wayfinder, ePS (Electronic Prescription Service), eRS (Electronic Referral Service)","Since 2022, IBM has served as NHS England‚  delivery partner for the NHS App. The multidisciplinary team of over 200 people designs, builds and operates the app using Scaled Agile, Enterprise Design Thinking and DevOps methodologies. They have direct experience with the NHS architecture, including 12 national services (e.g., NHS Login, PDS, Wayfinder, ePS, eRS) and collaboration with 17 third‚ party suppliers such as TPP, EMIS and AccuRx. The team works closely with stakeholders from all these organisations to ensure seamless integration and continuous improvement.","[Deployed over 100 releases in 2023, Delivered ministerial commitments to the Mobile First agenda, Integrated new features including Be Part of Research, 111 Online, EPS Barcode, GP Registration, Enhanced Test Results, PEP Messaging Integrations & Vaccine Booking into the NHS App]",[https://ibmgbs.loopio.com/library?entry=10079118]
10079119.md,Behavioural Science-Driven Digital Solution for Canadian Bank,Canadian bank (unnamed),"Banking, Financial Services",,"As the digital design partner of a Canadian bank in 2022, we applied Expectancy‚ Value behavioural science theory and methodology to model the decision‚ making process that clients go through when deciding to click on an offer and completing the fulfilment process. We assessed over 250 campaigns for performance across key business metrics, identified top and low performing campaigns, and analysed success factors. A 100+ page playbook was built with design and orchestration recommendations based on behavioural science evidence, best practices and standards across the bank. The playbook was used to redesign the technical solution for 40 underperforming offers.",Purchase rates increased by 420% and engagement on a new savings product rose by 36%.,[https://ibmgbs.loopio.com/library?entry=10079119]
10111324.md,National Grid Automation Case Study,National Grid,"Utilities, Energy (Critical National Infrastructure)","Automation Control Centre (ACC) platform, Dynatrace application monitoring, WinAutomation RPA, ServiceNow, Slack integration, Docker container-based applications","IBM supported National Grid in delivering critical regulated services by implementing a comprehensive automation strategy. The Automation Control Centre (ACC) platform was established to provide a single pane view of service health, integrating Dynatrace for monitoring with WinAutomation for robotic process automation. Over 110 automated bots were deployed to alert teams and execute self‚ healing actions when thresholds were breached. Additional capabilities included autonomous application management, proactive system maintenance, trend analysis, root cause analysis, anomaly detection, and ChatOps via Slack integration with ServiceNow for automatic ticket creation.","[Total incidents reduced by 50%, Over 750 P3/P4 incidents avoided, Major incidents reduced by 70%, Manual health check effort cut by 80%, AMS OPEX costs lowered by 40%, Customer satisfaction score of 85%]",[https://ibmgbs.loopio.com/library?entry=10111324]
10111327.md,IBM Support for UK Health Security Agency Test & Trace Operations,UK Health Security Agency (UKHSA),"Public Health, Government Services","ServiceNow, Jira, MuleSoft, Slack, Microsoft Teams","During the COVID‚ 19 pandemic, IBM was tasked with establishing and operating a 24/7 Level‚ÄØ2 and Level‚ÄØ3 support team for UKHSA‚  critical Test & Trace (T&T) applications. Within the first month IBM set up a fully operational support organisation, implemented governance structures based on monthly service reviews, and introduced ITIL‚ aligned SLAs and KPIs to monitor response and restoration times. The solution leveraged ServiceNow (later than Jira) for incident and change management, integrated MuleSoft for automated patching of lower environments, and added Slack and Teams channels to coordinate triage across a multi‚ supplier environment.","[Zero P1 incidents in the past two years (only two prior to engagement), Reduced monthly MuleSoft patch execution time from 0.5 days to 30 minutes, Minimal rollbacks due to high governance quality, Maximum Net Promoter Score of 10 awarded by UKHSA for 2022 and 2023]",[https://ibmgbs.loopio.com/library?entry=10111327]
10111330.md,Green IT Vision for a Major UK Retail Bank,Major UK Retail Bank (unidentified),"Banking, Financial Services",,"IBM partnered with a major UK retail bank to help it achieve its Green IT Vision and net‚ zero by 2030. Using IBM‚  Responsible Computing Framework (RCF) and sustainability commitments, IBM analysed the bank‚  IT estate to quantify carbon emissions, identify inefficiencies, and recommend mitigation actions such as utilisation‚ based optimisation of VM cores, peak levelling, and anomaly mitigation. The project delivered granular carbon insights, consistency in data capture, a 30% reduction in carbon emissions, and fostered a data‚ driven culture that improved decision‚ making and operational efficiency.","[Granular carbon emissions insights for the client‚  technology estate, Consistent data capture across the IT estate, 30% saving in carbon emissions, Enhanced data‚ driven culture boosting decision‚ making, operational efficiency, and informing Green IT strategy]",[https://ibmgbs.loopio.com/library?entry=10111330]
10120106.md,Re-launch of Adult Disability Payment,Scottish Government,"Public Sector, Government Services",,"As Scottish Government‚  strategic digital delivery partner, we led and re-launched the Adult Disability Payment in 2022. Using strategic, user-centred Enterprise Design Thinking methodology, we co‚ designed and iterated with over 1,400 research participants across all stages of the end‚ to‚ end lived experience for service users and caseworkers, including those with accessibility needs. The project employed quantitative methods (surveys, web analytics) and qualitative methods (interviews, focus groups, usability testing).","The resulting service met WCAG 2.1 AA Guidelines, achieved a 97% satisfaction rating, increased citizen uptake of the benefit by 90%, and reduced caseworker days required by 477 per year.",[https://ibmgbs.loopio.com/library?entry=10120106]
